LAST SEEN             TYPE      REASON                   OBJECT                                  MESSAGE
57m                   Normal    Pulled                   Pod/cilium-b54lh                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-b54lh                        Created container mount-cgroup
57m                   Normal    Started                  Pod/cilium-b54lh                        Started container mount-cgroup
57m                   Normal    Pulled                   Pod/cilium-g8nx9                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-g8nx9                        Created container mount-cgroup
57m                   Normal    Started                  Pod/cilium-g8nx9                        Started container mount-cgroup
57m                   Normal    Started                  Pod/cilium-qrt92                        Started container mount-cgroup
57m                   Normal    Created                  Pod/cilium-qrt92                        Created container mount-cgroup
57m                   Normal    Pulled                   Pod/cilium-qrt92                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-qrt92                        Started container config
57m                   Normal    Created                  Pod/cilium-qrt92                        Created container config
57m                   Normal    Pulled                   Pod/cilium-qrt92                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-2hgp6                        Created container config
57m                   Normal    Pulled                   Pod/cilium-dgnb4                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-sbz22                        Started container mount-cgroup
57m                   Normal    Pulling                  Pod/cilium-operator-5bd5fbd99d-pwspd    Pulling image "quay.io/cilium/operator-generic:v1.18.2@sha256:cb4e4ffc5789fd5ff6a534e3b1460623df61cba00f5ea1c7b40153b5efb81805"
57m                   Normal    Started                  Pod/cilium-dgnb4                        Started container config
57m                   Normal    Pulled                   Pod/cilium-dgnb4                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-8f5jf                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-8f5jf                        Started container mount-cgroup
57m                   Normal    Created                  Pod/cilium-8f5jf                        Created container mount-cgroup
57m                   Normal    Pulled                   Pod/cilium-b54lh                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-9qvc6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-sbz22                        Created container apply-sysctl-overwrites
57m                   Normal    Created                  Pod/cilium-8f5jf                        Created container apply-sysctl-overwrites
57m                   Normal    Pulled                   Pod/cilium-sbz22                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-dgnb4                        Created container apply-sysctl-overwrites
57m                   Normal    Created                  Pod/cilium-g8nx9                        Created container apply-sysctl-overwrites
57m                   Normal    Created                  Pod/cilium-b54lh                        Created container apply-sysctl-overwrites
57m                   Normal    Pulled                   Pod/cilium-dgnb4                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-8f5jf                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-g8nx9                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-r754d                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-r754d                        Created container mount-cgroup
57m                   Normal    Started                  Pod/cilium-r754d                        Started container mount-cgroup
57m                   Normal    Pulled                   Pod/cilium-2hgp6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-2hgp6                        Created container mount-cgroup
57m                   Normal    Created                  Pod/cilium-9qvc6                        Created container apply-sysctl-overwrites
57m                   Normal    Created                  Pod/cilium-qrt92                        Created container apply-sysctl-overwrites
57m                   Normal    Started                  Pod/cilium-2hgp6                        Started container mount-cgroup
57m                   Normal    Pulled                   Pod/cilium-qrt92                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-b54lh                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-2hgp6                        Created container apply-sysctl-overwrites
57m                   Normal    Started                  Pod/cilium-dgnb4                        Started container apply-sysctl-overwrites
57m                   Normal    Created                  Pod/cilium-dgnb4                        Created container mount-bpf-fs
57m                   Normal    Created                  Pod/cilium-sbz22                        Created container mount-bpf-fs
57m                   Normal    Pulled                   Pod/cilium-sbz22                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-sbz22                        Started container apply-sysctl-overwrites
57m                   Normal    Started                  Pod/cilium-g8nx9                        Started container apply-sysctl-overwrites
57m                   Normal    Pulled                   Pod/cilium-g8nx9                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-g8nx9                        Created container mount-bpf-fs
57m                   Normal    Pulled                   Pod/cilium-2hgp6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-8f5jf                        Started container apply-sysctl-overwrites
57m                   Normal    Pulled                   Pod/cilium-8f5jf                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-8f5jf                        Created container mount-bpf-fs
57m                   Normal    Started                  Pod/cilium-8f5jf                        Started container mount-bpf-fs
57m                   Normal    Started                  Pod/cilium-b54lh                        Started container mount-bpf-fs
57m                   Normal    Created                  Pod/cilium-b54lh                        Created container mount-bpf-fs
57m                   Normal    Pulled                   Pod/cilium-dgnb4                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-b54lh                        Started container apply-sysctl-overwrites
57m                   Normal    Started                  Pod/cilium-2hgp6                        Started container apply-sysctl-overwrites
57m                   Normal    Started                  Pod/cilium-qrt92                        Started container apply-sysctl-overwrites
57m                   Normal    Pulled                   Pod/cilium-qrt92                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-qrt92                        Created container mount-bpf-fs
57m                   Normal    Started                  Pod/cilium-qrt92                        Started container mount-bpf-fs
57m                   Normal    Started                  Pod/cilium-r754d                        Started container apply-sysctl-overwrites
57m                   Normal    Started                  Pod/cilium-9qvc6                        Started container apply-sysctl-overwrites
57m                   Normal    Pulled                   Pod/cilium-9qvc6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
