LAST SEEN             TYPE      REASON                   OBJECT                                  MESSAGE
49m                   Normal    Created                  Pod/cilium-mgcxz                        Created container install-cni-binaries
49m                   Normal    Started                  Pod/cilium-4psjq                        Started container clean-cilium-state
49m                   Normal    Pulled                   Pod/cilium-8xc64                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m                   Normal    Started                  Pod/cilium-mgcxz                        Started container install-cni-binaries
49m                   Normal    Created                  Pod/cilium-4psjq                        Created container install-cni-binaries
49m                   Normal    Created                  Pod/cilium-8xc64                        Created container install-cni-binaries
49m                   Normal    Started                  Pod/cilium-dgb2v                        Started container install-cni-binaries
49m                   Normal    Started                  Pod/cilium-rqpkb                        Started container install-cni-binaries
49m                   Normal    Created                  Pod/cilium-rqpkb                        Created container install-cni-binaries
49m                   Normal    Pulled                   Pod/cilium-rqpkb                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m                   Normal    Started                  Pod/cilium-4psjq                        Started container install-cni-binaries
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-5rrdv                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Created                  Pod/cilium-5rrdv                        Created container cilium-agent
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-5whbp                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Started                  Pod/cilium-mgcxz                        Started container cilium-agent
49m                   Warning   BackOff                  Pod/cilium-5rrdv                        Back-off restarting failed container cilium-agent in pod cilium-5rrdv_kube-system(e8ca7ef5-374e-4e8e-a0a5-57a94b13397f)
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-rqpkb                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-dgb2v                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Created                  Pod/cilium-dgb2v                        Created container cilium-agent
49m (x2 over 49m)     Normal    Started                  Pod/cilium-dgb2v                        Started container cilium-agent
49m (x2 over 49m)     Normal    Created                  Pod/cilium-8xc64                        Created container cilium-agent
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-8xc64                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Created                  Pod/cilium-4psjq                        Created container cilium-agent
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-4psjq                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Created                  Pod/cilium-rqpkb                        Created container cilium-agent
49m (x2 over 49m)     Normal    Started                  Pod/cilium-rqpkb                        Started container cilium-agent
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-ffptp                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Created                  Pod/cilium-5whbp                        Created container cilium-agent
49m (x2 over 49m)     Normal    Started                  Pod/cilium-5rrdv                        Started container cilium-agent
49m (x2 over 49m)     Normal    Created                  Pod/cilium-mgcxz                        Created container cilium-agent
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-mgcxz                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Created                  Pod/cilium-ffptp                        Created container cilium-agent
49m (x2 over 49m)     Normal    Started                  Pod/cilium-5whbp                        Started container cilium-agent
49m (x2 over 49m)     Normal    Started                  Pod/cilium-ffptp                        Started container cilium-agent
49m (x2 over 49m)     Normal    Started                  Pod/cilium-8xc64                        Started container cilium-agent
49m (x2 over 49m)     Normal    Pulled                   Pod/cilium-nq96c                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
49m (x2 over 49m)     Normal    Started                  Pod/cilium-nq96c                        Started container cilium-agent
49m (x2 over 49m)     Normal    Created                  Pod/cilium-nq96c                        Created container cilium-agent
49m                   Warning   BackOff                  Pod/cilium-nq96c                        Back-off restarting failed container cilium-agent in pod cilium-nq96c_kube-system(3da3d0ec-33b8-4232-86c7-2d93b453b66f)
49m                   Warning   BackOff                  Pod/cilium-ffptp                        Back-off restarting failed container cilium-agent in pod cilium-ffptp_kube-system(dfb926ef-a3e8-4a41-a3c2-3c9fabf367f4)
49m                   Warning   BackOff                  Pod/cilium-5whbp                        Back-off restarting failed container cilium-agent in pod cilium-5whbp_kube-system(5cda76b7-d12b-4741-b9a9-47e7841b76f6)
49m                   Warning   BackOff                  Pod/cilium-dgb2v                        Back-off restarting failed container cilium-agent in pod cilium-dgb2v_kube-system(d2a5d478-2567-4d4c-ba5e-284fc6079cde)
49m                   Warning   BackOff                  Pod/cilium-rqpkb                        Back-off restarting failed container cilium-agent in pod cilium-rqpkb_kube-system(0e565090-f6a8-4962-a4f7-f287e87fca7f)
49m                   Warning   BackOff                  Pod/cilium-mgcxz                        Back-off restarting failed container cilium-agent in pod cilium-mgcxz_kube-system(37bf2250-8603-4f27-89b3-78e32faf0575)
49m (x2 over 49m)     Normal    Started                  Pod/cilium-4psjq                        Started container cilium-agent
49m                   Warning   BackOff                  Pod/cilium-8xc64                        Back-off restarting failed container cilium-agent in pod cilium-8xc64_kube-system(12c3896e-f9be-4404-a5df-5b13917f0675)
49m                   Warning   BackOff                  Pod/cilium-4psjq                        Back-off restarting failed container cilium-agent in pod cilium-4psjq_kube-system(9bf14680-07f7-4979-8fca-d46e83fc28b1)
46m                   Normal    Pulled                   Pod/cilium-zt8mg                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-mdnnt                        Created container config
46m                   Normal    Created                  Pod/cilium-operator-5bd5fbd99d-9hg9g    Created container cilium-operator
46m                   Normal    Pulled                   Pod/cilium-operator-5bd5fbd99d-9hg9g    Container image "quay.io/cilium/operator-generic:v1.18.2@sha256:cb4e4ffc5789fd5ff6a534e3b1460623df61cba00f5ea1c7b40153b5efb81805" already present on machine
46m                   Normal    Pulled                   Pod/cilium-mdnnt                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Killing                  Pod/cilium-operator-5bd5fbd99d-pwspd    Stopping container cilium-operator
46m                   Normal    SuccessfulCreate         ReplicaSet/cilium-operator-5bd5fbd99d   Created pod: cilium-operator-5bd5fbd99d-9hg9g
46m                   Normal    Created                  Pod/cilium-zt8mg                        Created container config
46m                   Normal    Scheduled                Pod/cilium-mdnnt                        Successfully assigned kube-system/cilium-mdnnt to robotics-dev-worker4
46m                   Normal    Scheduled                Pod/cilium-operator-5bd5fbd99d-9hg9g    Successfully assigned kube-system/cilium-operator-5bd5fbd99d-9hg9g to robotics-dev-worker4
46m                   Normal    Scheduled                Pod/cilium-zt8mg                        Successfully assigned kube-system/cilium-zt8mg to robotics-dev-control-plane2
46m                   Normal    Scheduled                Pod/cilium-t5ztx                        Successfully assigned kube-system/cilium-t5ztx to robotics-dev-control-plane
46m                   Normal    Scheduled                Pod/cilium-7c2kd                        Successfully assigned kube-system/cilium-7c2kd to robotics-dev-worker5
46m                   Normal    Scheduled                Pod/cilium-jswn8                        Successfully assigned kube-system/cilium-jswn8 to robotics-dev-worker3
46m                   Normal    Scheduled                Pod/cilium-rhf82                        Successfully assigned kube-system/cilium-rhf82 to robotics-dev-worker
46m                   Normal    Scheduled                Pod/cilium-8hc7b                        Successfully assigned kube-system/cilium-8hc7b to robotics-dev-worker2
46m                   Normal    Scheduled                Pod/cilium-22qb2                        Successfully assigned kube-system/cilium-22qb2 to robotics-dev-control-plane3
46m                   Normal    Scheduled                Pod/cilium-4wl86                        Successfully assigned kube-system/cilium-4wl86 to robotics-dev-worker6
46m                   Normal    Started                  Pod/cilium-zt8mg                        Started container config
46m                   Normal    Pulled                   Pod/cilium-7c2kd                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-8hc7b                        Started container config
46m                   Normal    Created                  Pod/cilium-8hc7b                        Created container config
46m                   Normal    Pulled                   Pod/cilium-8hc7b                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-22qb2                        Created container mount-cgroup
46m                   Normal    Started                  Pod/cilium-mdnnt                        Started container mount-cgroup
46m                   Normal    Started                  Pod/cilium-22qb2                        Started container mount-cgroup
46m                   Warning   Unhealthy                Pod/cilium-operator-5bd5fbd99d-9hg9g    Readiness probe failed: Get "http://127.0.0.1:9234/healthz": dial tcp 127.0.0.1:9234: connect: connection refused
46m                   Normal    Started                  Pod/cilium-operator-5bd5fbd99d-9hg9g    Started container cilium-operator
46m                   Normal    Created                  Pod/cilium-mdnnt                        Created container mount-cgroup
46m                   Normal    Pulled                   Pod/cilium-mdnnt                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-22qb2                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-8hc7b                        Created container mount-cgroup
46m                   Normal    Started                  Pod/cilium-zt8mg                        Started container mount-cgroup
46m                   Normal    Created                  Pod/cilium-zt8mg                        Created container mount-cgroup
46m                   Normal    Pulled                   Pod/cilium-zt8mg                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-rhf82                        Started container mount-cgroup
46m                   Normal    Started                  Pod/cilium-mdnnt                        Started container config
46m                   Normal    Started                  Pod/cilium-22qb2                        Started container config
46m                   Normal    Created                  Pod/cilium-22qb2                        Created container config
46m                   Normal    Pulled                   Pod/cilium-22qb2                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-4wl86                        Started container mount-cgroup
46m                   Normal    Created                  Pod/cilium-4wl86                        Created container mount-cgroup
46m                   Normal    Pulled                   Pod/cilium-4wl86                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-8hc7b                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-7c2kd                        Created container config
46m                   Normal    Started                  Pod/cilium-7c2kd                        Started container config
46m                   Normal    Pulled                   Pod/cilium-7c2kd                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-7c2kd                        Created container mount-cgroup
46m                   Normal    Started                  Pod/cilium-7c2kd                        Started container mount-cgroup
46m                   Normal    Started                  Pod/cilium-4wl86                        Started container config
46m                   Normal    Pulled                   Pod/cilium-jswn8                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-jswn8                        Created container config
46m                   Normal    Created                  Pod/cilium-4wl86                        Created container config
46m                   Normal    Started                  Pod/cilium-jswn8                        Started container mount-cgroup
46m                   Normal    Created                  Pod/cilium-jswn8                        Created container mount-cgroup
46m                   Normal    Pulled                   Pod/cilium-jswn8                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-jswn8                        Started container config
46m                   Normal    Started                  Pod/cilium-t5ztx                        Started container mount-cgroup
46m                   Normal    Created                  Pod/cilium-t5ztx                        Created container mount-cgroup
46m                   Normal    Pulled                   Pod/cilium-t5ztx                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-t5ztx                        Started container config
46m                   Normal    Pulled                   Pod/cilium-4wl86                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-8hc7b                        Started container mount-cgroup
46m                   Normal    Pulled                   Pod/cilium-t5ztx                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-t5ztx                        Created container config
46m                   Normal    Pulled                   Pod/cilium-rhf82                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-rhf82                        Created container config
46m                   Normal    Started                  Pod/cilium-rhf82                        Started container config
46m                   Normal    Pulled                   Pod/cilium-rhf82                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-rhf82                        Created container mount-cgroup
46m                   Normal    Pulled                   Pod/cilium-zt8mg                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-mdnnt                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-zt8mg                        Started container apply-sysctl-overwrites
46m                   Normal    Pulled                   Pod/cilium-7c2kd                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-rhf82                        Started container apply-sysctl-overwrites
46m                   Normal    Created                  Pod/cilium-rhf82                        Created container apply-sysctl-overwrites
46m                   Normal    Pulled                   Pod/cilium-rhf82                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-8hc7b                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-8hc7b                        Created container apply-sysctl-overwrites
46m                   Normal    Started                  Pod/cilium-8hc7b                        Started container apply-sysctl-overwrites
46m                   Normal    Created                  Pod/cilium-7c2kd                        Created container apply-sysctl-overwrites
46m                   Normal    Started                  Pod/cilium-7c2kd                        Started container apply-sysctl-overwrites
46m                   Normal    Started                  Pod/cilium-mdnnt                        Started container apply-sysctl-overwrites
46m                   Normal    Started                  Pod/cilium-22qb2                        Started container apply-sysctl-overwrites
46m                   Normal    Pulled                   Pod/cilium-4wl86                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-4wl86                        Created container apply-sysctl-overwrites
46m                   Normal    Started                  Pod/cilium-4wl86                        Started container apply-sysctl-overwrites
46m                   Normal    Created                  Pod/cilium-22qb2                        Created container apply-sysctl-overwrites
46m                   Normal    Pulled                   Pod/cilium-t5ztx                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-t5ztx                        Created container apply-sysctl-overwrites
46m                   Normal    Started                  Pod/cilium-t5ztx                        Started container apply-sysctl-overwrites
46m                   Normal    Pulled                   Pod/cilium-22qb2                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-jswn8                        Started container apply-sysctl-overwrites
46m                   Normal    Created                  Pod/cilium-jswn8                        Created container apply-sysctl-overwrites
46m                   Normal    Created                  Pod/cilium-mdnnt                        Created container apply-sysctl-overwrites
46m                   Normal    Created                  Pod/cilium-zt8mg                        Created container apply-sysctl-overwrites
46m                   Normal    Pulled                   Pod/cilium-jswn8                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-mdnnt                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-rhf82                        Created container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-rhf82                        Started container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-t5ztx                        Started container mount-bpf-fs
46m                   Normal    Created                  Pod/cilium-t5ztx                        Created container mount-bpf-fs
46m                   Normal    Pulled                   Pod/cilium-jswn8                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-22qb2                        Created container mount-bpf-fs
46m                   Normal    Pulled                   Pod/cilium-22qb2                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-t5ztx                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-4wl86                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-22qb2                        Started container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-8hc7b                        Started container mount-bpf-fs
46m                   Normal    Created                  Pod/cilium-4wl86                        Created container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-4wl86                        Started container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-jswn8                        Started container mount-bpf-fs
46m                   Normal    Created                  Pod/cilium-7c2kd                        Created container mount-bpf-fs
46m                   Normal    Pulled                   Pod/cilium-7c2kd                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-8hc7b                        Created container mount-bpf-fs
46m                   Normal    Pulled                   Pod/cilium-8hc7b                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-rhf82                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-jswn8                        Created container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-7c2kd                        Started container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-mdnnt                        Started container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-zt8mg                        Started container mount-bpf-fs
46m                   Normal    Created                  Pod/cilium-zt8mg                        Created container mount-bpf-fs
46m                   Normal    Pulled                   Pod/cilium-zt8mg                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-mdnnt                        Created container mount-bpf-fs
46m                   Normal    Started                  Pod/cilium-t5ztx                        Started container clean-cilium-state
46m                   Normal    Created                  Pod/cilium-4wl86                        Created container clean-cilium-state
46m                   Normal    Pulled                   Pod/cilium-rhf82                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-rhf82                        Created container clean-cilium-state
46m                   Normal    Started                  Pod/cilium-rhf82                        Started container clean-cilium-state
46m                   Normal    Started                  Pod/cilium-mdnnt                        Started container clean-cilium-state
46m                   Normal    Created                  Pod/cilium-mdnnt                        Created container clean-cilium-state
46m                   Normal    Pulled                   Pod/cilium-22qb2                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-22qb2                        Created container clean-cilium-state
46m                   Normal    Started                  Pod/cilium-22qb2                        Started container clean-cilium-state
46m                   Normal    Started                  Pod/cilium-jswn8                        Started container clean-cilium-state
46m                   Normal    Created                  Pod/cilium-jswn8                        Created container clean-cilium-state
46m                   Normal    Pulled                   Pod/cilium-zt8mg                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-zt8mg                        Created container clean-cilium-state
46m                   Normal    Started                  Pod/cilium-zt8mg                        Started container clean-cilium-state
46m                   Normal    Pulled                   Pod/cilium-t5ztx                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-t5ztx                        Created container clean-cilium-state
46m                   Normal    Pulled                   Pod/cilium-4wl86                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-mdnnt                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-jswn8                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-7c2kd                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-7c2kd                        Created container clean-cilium-state
46m                   Normal    Started                  Pod/cilium-7c2kd                        Started container clean-cilium-state
46m                   Normal    Started                  Pod/cilium-4wl86                        Started container clean-cilium-state
46m                   Normal    Pulled                   Pod/cilium-8hc7b                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-8hc7b                        Created container clean-cilium-state
46m                   Normal    Started                  Pod/cilium-8hc7b                        Started container clean-cilium-state
46m                   Normal    Pulled                   Pod/cilium-t5ztx                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Started                  Pod/cilium-8hc7b                        Started container install-cni-binaries
46m                   Normal    Created                  Pod/cilium-8hc7b                        Created container install-cni-binaries
46m                   Normal    Pulled                   Pod/cilium-8hc7b                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-t5ztx                        Created container install-cni-binaries
46m                   Normal    Started                  Pod/cilium-4wl86                        Started container install-cni-binaries
46m                   Normal    Started                  Pod/cilium-7c2kd                        Started container install-cni-binaries
46m                   Normal    Created                  Pod/cilium-7c2kd                        Created container install-cni-binaries
46m                   Normal    Created                  Pod/cilium-4wl86                        Created container install-cni-binaries
46m                   Normal    Pulled                   Pod/cilium-4wl86                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-7c2kd                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-22qb2                        Created container install-cni-binaries
46m                   Normal    Started                  Pod/cilium-zt8mg                        Started container install-cni-binaries
46m                   Normal    Created                  Pod/cilium-zt8mg                        Created container install-cni-binaries
46m                   Normal    Pulled                   Pod/cilium-zt8mg                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-22qb2                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Pulled                   Pod/cilium-jswn8                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
46m                   Normal    Created                  Pod/cilium-jswn8                        Created container install-cni-binaries
46m                   Normal    Started                  Pod/cilium-jswn8                        Started container install-cni-binaries
46m                   Normal    Started                  Pod/cilium-rhf82                        Started container install-cni-binaries
